日期,收盘,开盘,高,低,交易量,涨跌幅
2020/1/1,"7,212.70","7,208.20","7,268.80","7,185.40",2.07K,0.0006 
2020/1/2,"6,989.40","7,212.70","7,225.20","6,963.00",4.85K,-0.0310 
2020/1/3,"7,367.50","6,989.40","7,437.60","6,909.30",6.68K,0.0541 
2020/1/4,"7,369.80","7,371.80","7,422.00","7,297.70",4.27K,0.0003 
2020/1/5,"7,364.60","7,370.30","7,509.90","7,315.80",4.45K,-0.0007 
2020/1/6,"7,757.90","7,364.70","7,784.90","7,358.00",8.54K,0.0534 
2020/1/7,"8,150.00","7,759.50","8,200.10","7,741.90",12.35K,0.0505 
2020/1/8,"8,036.80","8,158.20","8,442.00","7,882.80",11.76K,-0.0139 
2020/1/9,"7,817.50","8,036.80","8,036.80","7,756.20",4.67K,-0.0273 
2020/1/10,"8,176.30","7,817.40","8,177.80","7,678.50",7.86K,0.0459 
2020/1/11,"8,013.80","8,184.30","8,271.90","7,994.60",4.25K,-0.0199 
2020/1/12,"8,174.70","8,013.60","8,174.70","7,951.70",3.21K,0.0201 
2020/1/13,"8,094.50","8,174.90","8,198.30","8,053.60",2.59K,-0.0098 
2020/1/14,"8,775.60","8,104.10","8,829.00","8,099.30",16.57K,0.0841 
2020/1/15,"8,807.70","8,760.80","8,873.00","8,560.20",8.78K,0.0037 
2020/1/16,"8,720.60","8,810.90","8,839.90","8,579.80",5.31K,-0.0099 
2020/1/17,"8,875.40","8,719.50","8,994.90","8,674.20",9.69K,0.0178 
2020/1/18,"8,891.50","8,873.10","8,965.00","8,794.20",3.46K,0.0018 
2020/1/19,"8,694.00","8,891.60","9,169.50","8,455.70",12.41K,-0.0222 
2020/1/20,"8,638.20","8,698.60","8,741.10","8,519.60",4.11K,-0.0064 
2020/1/21,"8,734.10","8,638.20","8,782.80","8,512.20",3.25K,0.0111 
2020/1/22,"8,663.90","8,734.20","8,799.90","8,580.60",2.35K,-0.0080 
2020/1/23,"8,403.50","8,668.90","8,669.30","8,296.90",5.70K,-0.0301 
2020/1/24,"8,447.10","8,403.60","8,521.80","8,247.70",3.51K,0.0052 
2020/1/25,"8,353.70","8,447.10","8,447.20","8,280.00",2.10K,-0.0111 
2020/1/26,"8,621.60","8,351.10","8,622.00","8,303.60",3.52K,0.0321 
2020/1/27,"8,912.00","8,622.00","9,001.80","8,585.20",6.28K,0.0337 
2020/1/28,"9,393.70","8,912.10","9,413.00","8,912.10",9.12K,0.0541 
2020/1/29,"9,304.20","9,390.90","9,442.00","9,244.40",4.60K,-0.0095 
2020/1/30,"9,512.70","9,305.10","9,550.00","9,175.70",9.02K,0.0224 
2020/1/31,"9,367.40","9,512.70","9,519.90","9,221.90",4.87K,-0.0153 
2020/2/1,"9,410.60","9,371.30","9,476.40","9,318.10",2.53K,0.0046 
2020/2/2,"9,353.10","9,408.00","9,501.00","9,175.40",6.44K,-0.0061 
2020/2/3,"9,309.30","9,353.10","9,625.30","9,247.10",6.72K,-0.0047 
2020/2/4,"9,197.40","9,309.20","9,359.80","9,112.50",4.07K,-0.0120 
2020/2/5,"9,612.00","9,197.50","9,731.20","9,180.20",10.77K,0.0451 
2020/2/6,"9,744.90","9,612.00","9,860.00","9,547.00",8.58K,0.0138 
2020/2/7,"9,805.20","9,745.00","9,859.60","9,695.50",3.70K,0.0062 
2020/2/8,"9,877.20","9,805.20","9,920.70","9,657.80",5.53K,0.0073 
2020/2/9,"10,151.00","9,877.30","10,161.00","9,871.10",9.64K,0.0277 
2020/2/10,"9,850.20","10,151.50","10,187.00","9,737.80",8.52K,-0.0296 
2020/2/11,"10,247.00","9,851.20","10,316.00","9,720.00",8.45K,0.0403 
2020/2/12,"10,339.00","10,249.00","10,458.00","10,238.00",8.71K,0.0090 
2020/2/13,"10,222.00","10,338.00","10,489.00","10,080.00",8.98K,-0.0113 
2020/2/14,"10,335.00","10,222.00","10,371.00","10,101.00",4.13K,0.0111 
2020/2/15,"9,901.00","10,335.00","10,370.00","9,800.30",6.40K,-0.0420 
2020/2/16,"9,929.70","9,901.00","10,037.00","9,651.40",6.93K,0.0029 
2020/2/17,"9,708.00","9,929.70","9,963.80","9,501.50",9.30K,-0.0223 
2020/2/18,"10,183.00","9,708.00","10,275.00","9,625.90",8.25K,0.0489 
2020/2/19,"9,592.20","10,184.00","10,309.00","9,350.30",13.94K,-0.0580 
